"id_paper","author","main_author"
191,"Christoph Beierle",TRUE
191,"Gregor Meyer",FALSE
191,"Heiner Semle",FALSE
192,"Claus-Rainer Rollinger",TRUE
192,"Hans Uszkoreit",FALSE
192,"Ipke Wachsmuth",FALSE
192,"Rudi Studer",FALSE
194,"Anne Schiller",TRUE
195,"Christopher Habel",TRUE
196,"Brigitte Bläser",TRUE
196,"M. Wermke",FALSE
197,"Thomas Ludwig 0001",TRUE
198,"Karl-Hans Bläsius",TRUE
198,"Ulrich Hedtstück",FALSE
199,"Elke Busch",TRUE
200,"Bernd Page",TRUE
200,"D. Eberle",FALSE
200,"D. Marx",FALSE
200,"Jürgen Pietsch",FALSE
200,"P. Klug-Lier",FALSE
200,"R. Zieschank",FALSE
200,"Ulrike Weiland",FALSE
201,"Volker Jantzen",TRUE
202,"Peter H. Schmitt",TRUE
202,"Ulrich Hedtstück",FALSE
203,"Christoph Beierle",TRUE
203,"Gregor Meyer",FALSE
203,"Ralph Scheubrein",FALSE
204,"Ralph Scheubrein",TRUE
205,"Jochen Dörre",TRUE
205,"William C. Rounds",FALSE
206,"Bernhard Nebel",TRUE
207,"Kurt Rothermel",TRUE
208,"Esther König",TRUE
208,"Roland Seiffert",FALSE
209,"Herbert J. Leass",TRUE
209,"Ulrike Schwall",FALSE
210,"Bart Geurts",TRUE
211,"Josef Gemander",TRUE
212,"Thomas Ludwig 0001",TRUE
213,"Stefan Böttcher",TRUE
214,"Petra Ludewig",TRUE
214,"Wilfried Hötker",FALSE
215,"Karel Oliva",TRUE
216,"Uwe Reyle",TRUE
217,"Reiner Hähnle",TRUE
218,"Jutta Kreiß",TRUE
219,"Udo Pletat",TRUE
220,"Wolfgang Wernecke",TRUE
221,"Gregor Erbach",TRUE
222,"Simone Pribbenow",TRUE
223,"Michael Tarnowski",TRUE
224,"Stefan Böttcher",TRUE
225,"Mechthild Rickheit",TRUE
226,"Jürgen Manowsky",TRUE
227,"Karl Schlechta",TRUE
228,"Ewald Lang",TRUE
228,"Geoffrey Simmons",FALSE
228,"Kai-Uwe Carstensen",FALSE
229,"Udo Pletat",TRUE
230,"Arne Pott",TRUE
230,"Thomas Ludwig 0001",FALSE
231,"Tibor Kiss",TRUE
232,"Bart Geurts",TRUE
232,"Rob A. van der Sandt",FALSE
233,"Stefan Böttcher",TRUE
234,"Jim Gray 0001",TRUE
234,"Vera Watson",FALSE
235,"Adrian Müller",TRUE
236,"Christoph Beierle",TRUE
236,"Udo Pletat",FALSE
238,"Eric Mays",TRUE
238,"Robert A. Weida",FALSE
238,"Robert Dionne",FALSE
238,"Sitaram Lanka",FALSE
239,"Peter Bosch",TRUE
240,"Christopher Habel",TRUE
240,"Simone Pribbenow",FALSE
241,"George Markowsky",TRUE
241,"H. Raymond Strong",FALSE
241,"Irving L. Traiger",FALSE
242,"Egon Börger",TRUE
243,"Jochen Dörre",TRUE
244,"Bernhard Nebel",TRUE
245,"Karl-Hans Bläsius",TRUE
245,"Stefan Bayerl",FALSE
246,"Günther Görz",TRUE
247,"Kjell Johan Sæbø",TRUE
248,"Roland Seiffert",TRUE
249,"Stefan Benzschawel",TRUE
250,"Ipke Wachsmuth",TRUE
251,"Jean-Yves Lerner",TRUE
251,"Ulrich Schatz",FALSE
252,"Jan Wilms",TRUE
253,"Gosse Bouma",TRUE
254,"Bernd Walter",TRUE
255,"Donald D. Chamberlin",TRUE
255,"Raymond F. Boyce",FALSE
256,"Bradford W. Wade",TRUE
256,"Raymond A. Lorie",FALSE
257,"Karin Neuhold",TRUE
258,"Richard Rödler",TRUE
259,"Gerd Hoff",TRUE
259,"Martin Mundhenk",FALSE
260,"Manfred Laumen",TRUE
261,"Christoph Meinel",TRUE
261,"Harald Sack",FALSE
261,"Volker Schillings",FALSE
262,"Carsten Damm",TRUE
263,"Martin Gugat",TRUE
264,"Nguyen V. Thoai",TRUE
265,"El-Sayed M. E. Mostafa",TRUE
265,"Friedemann Leibfritz",FALSE
266,"Nguyen V. Thoai",TRUE
267,"Belinda B. King",TRUE
268,"A. Battermann",TRUE
268,"Ekkehard W. Sachs",FALSE
268,"Eyal Arian",FALSE
269,"John Westwater",TRUE
269,"Peter Gritzmann",FALSE
269,"Victor Klee",FALSE
270,"Dieter Baum",TRUE
271,"Dieter Baum",TRUE
272,"Christoph Meinel",TRUE
272,"Volker Schillings",FALSE
273,"Florian Jarre",TRUE
275,"Anna Slobodová",TRUE
275,"Christoph Meinel",FALSE
276,"Alexander Kaplan",TRUE
276,"M. Böhm",FALSE
276,"Rainer Tichatschke",FALSE
276,"Tim Voetmann",FALSE
277,"Manfred Laumen",TRUE
